barID,Name,State,Open Time,Closing Time,priceRange
0,Windy Wife Tavern,Washington,14,2,low
1,Breezy Cake Pub,Montana,13,1,medium
2,The Bright Frog ,Nevada,15,0,medium
3,The Normal Moose ,North Dakota,15,0,high
4,The  Fretful Pizza Bar,Iowa,15,1,medium
5,The Secretive Apple Tavern,Kentucky,15,2,low
6,Bright Toad Bar,Oklahoma,14,1,high
7,Spiritual Skull Inn,Delaware,12,1,high
8,The Subdued Armadillo Inn,Indiana,13,1,high
9,Knotty Cod Inn,Kentucky,13,1,medium
10,Glib Pear Bar,Massachusetts,15,2,high
11,The  Fascinated Onion Inn,Illinois,15,2,medium
12,Roomy Badger Bar,Georgia,14,1,high
13,Dry Gorilla Pub,Florida,12,2,high
14,The Icy Dog ,Palau,15,0,high
15,The Sedate Gate Pub,Rhode Island,14,0,high
16,Ambitious Kitten ,Louisiana,13,1,low
17,Placid Cove Bar,Federated States of Micronesia,12,2,medium
18,The Guarded Tiger Tavern,Wisconsin,15,2,medium
19,Ubiquitous Bongo Pub,Kentucky,14,1,high
20,Detailed Flower Inn,Vermont,14,0,medium
21,The Ripe Adventurer Inn,Wyoming,15,2,high
22,Ripe Lyre Tavern,Marshall Islands,12,1,medium
23,The Abiding Wife Inn,Indiana,14,0,medium
24,Economic Captain Inn,Mississippi,12,0,low
25,Racial Pirate ,American Samoa,13,2,high
26,Neat Snowman Inn,Georgia,13,1,low
27,The Lowly Adventurer Pub,Georgia,13,2,high
28,Hesitant Pikachu Bar,Guam,15,0,medium
29,The Lonely Cake Tavern,Delaware,12,2,high
30,Electric Guitar Pub,Palau,14,2,medium
31,Delicate Gate Pub,Alaska,15,0,high
32,The Juvenile Toad Tavern,Utah,12,1,high
33,Groovy Crossbow Bar,District of Columbia,15,1,high
34,Wrong Frog Tavern,Arizona,13,2,low
35,The Scared Fish Bar,Missouri,12,1,high
36,Thoughtful Trumpet Bar,Vermont,15,2,high
37,The Waiting Guitar Pub,North Carolina,15,2,high
38,Stupendous Husband Inn,American Samoa,13,0,high
39,Overjoyed Frog Pub,Louisiana,14,0,high
40,The Meaty Captain ,South Carolina,14,2,high
41,The Ubiquitous Gate Pub,Texas,12,0,high
42,The Rotten Apple Bar,New Jersey,14,1,medium
43,The Used Cod Bar,Connecticut,14,1,medium
44,Alleged Cake Inn,Ohio,14,2,high
45,Psychotic Frog ,Iowa,12,1,high
46,Troubled Garden Bar,Utah,14,1,low
47,The Awful Pear ,Connecticut,15,0,low
48,The Demonic Lyre Inn,Georgia,13,1,low
49,Eminent Gate Pub,Tennessee,13,2,low
50,The Real Adventurer Tavern,Louisiana,12,1,low
51,The Adjoining Bongo Tavern,Arkansas,15,2,high
52,The Spicy Captain ,West Virginia,12,2,medium
53,Straight Kitten Pub,Alabama,12,1,low
54,Picayune Cove Tavern,Maryland,12,2,low
55,The Enormous Snowman ,Maryland,12,1,low
56,Eight Badger Pub,Hawaii,15,0,medium
57,Juvenile Tiger Pub,South Dakota,13,0,low
58,The Lowly Bongo Pub,Florida,13,2,low
59,Late Noodle Pub,Ohio,14,2,medium
60,Boorish Husband Tavern,North Carolina,13,1,high
61,Mighty Noodle Inn,Florida,14,2,low
62,Nippy Captain ,Northern Mariana Islands,14,2,medium
63,The Robust Onion Tavern,Maine,12,2,high
64,The Damaged Frog ,Rhode Island,13,0,high
65,Obeisant Dog Tavern,Guam,13,1,low
66,Honorable Cod Tavern,Northern Mariana Islands,13,0,medium
67,The Hushed Noodle Inn,Maine,12,0,low
68,The Prickly Wife ,Kentucky,15,2,low
69,The Gifted Elf ,Palau,13,1,high
70,Certain Badger Bar,Virginia,15,2,high
