barID,Name,Beer,Price
0,Windy Wife Tavern,Icehouse,3.5
0,Windy Wife Tavern,Steel Reserve,3.5
0,Windy Wife Tavern,Coors Banquet,4
0,Windy Wife Tavern,Dos Equis,6.5
0,Windy Wife Tavern,Blue Moon,8
0,Windy Wife Tavern,Yuengling Lager,8
0,Windy Wife Tavern,Natural Ice,9
0,Windy Wife Tavern,Pabst Blue Ribbon,9
0,Windy Wife Tavern,Bud Ice,9.5
0,Windy Wife Tavern,Stella Artois,9.5
1,Breezy Cake Pub,Icehouse,3
1,Breezy Cake Pub,Steel Reserve,3
1,Breezy Cake Pub,Coors Banquet,4.0
1,Breezy Cake Pub,Dos Equis,4.0
1,Breezy Cake Pub,Blue Moon,4
1,Breezy Cake Pub,Yuengling Lager,5
1,Breezy Cake Pub,Natural Ice,5
1,Breezy Cake Pub,Pabst Blue Ribbon,5
1,Breezy Cake Pub,Bud Ice,7.0
1,Breezy Cake Pub,Stella Artois,7
2,The Bright Frog ,Michelob Ultra,3
2,The Bright Frog ,Miller Lite,3.5
2,The Bright Frog ,Budweiser,4.0
2,The Bright Frog ,Coors Light,4.0
2,The Bright Frog ,Bud Light,4
2,The Bright Frog ,Breakfast Stout,4
2,The Bright Frog ,90 Minute IPA,4
2,The Bright Frog ,Sculpin IPA,4.5
2,The Bright Frog ,KBS,5
2,The Bright Frog ,60 Minute IPA,5
3,The Normal Moose ,Natural Light,3
3,The Normal Moose ,Modelo especial,4.0
3,The Normal Moose ,Michelob Ultra,4.0
3,The Normal Moose ,Miller Lite,4
3,The Normal Moose ,Budweiser,4
3,The Normal Moose ,Coors Light,4
3,The Normal Moose ,Bud Light,4.5
3,The Normal Moose ,Breakfast Stout,4.5
3,The Normal Moose ,90 Minute IPA,4.5
3,The Normal Moose ,Sculpin IPA,5
4,The  Fretful Pizza Bar,Bud Light,3
4,The  Fretful Pizza Bar,Breakfast Stout,4.0
4,The  Fretful Pizza Bar,90 Minute IPA,4.0
4,The  Fretful Pizza Bar,Sculpin IPA,4
4,The  Fretful Pizza Bar,KBS,4.5
4,The  Fretful Pizza Bar,60 Minute IPA,4.5
